ticker,company_name,latest_roe,latest_roic,latest_de,latest_pe
NTAP,"NetApp, Inc.",114.04%,15.46%,9.41,N/A
OTEX,OPEN TEXT CORP,11.08%,4.99%,N/A,N/A
PCG-PX,PG&E Corp,8.33%,2.61%,N/A,N/A
UAL,"United Airlines Holdings, Inc.",24.84%,7.03%,N/A,N/A
OLED,UNIVERSAL DISPLAY CORP \PA\,13.74%,N/A,0.13,N/A
IDT,IDT CORP,26.18%,N/A,1.15,N/A
CSGS,CSG SYSTEMS INTERNATIONAL INC,N/A,9.27%,N/A,N/A
UNP,UNION PACIFIC CORP,39.95%,N/A,3.01,N/A
RUSHB,RUSH ENTERPRISES INC TX,14.20%,13.87%,N/A,N/A
FDS,FACTSET RESEARCH SYSTEMS INC,28.09%,15.15%,1.12,N/A
ANSS,ANSYS INC,9.46%,9.13%,N/A,N/A
OPCH,"Option Care Health, Inc.",15.08%,8.59%,1.44,N/A
CHKP,CHECK POINT SOFTWARE TECHNOLOGIES LTD,30.32%,N/A,1.06,N/A
WLFC,WILLIS LEASE FINANCE CORP,19.77%,N/A,4.89,N/A
LAD,LITHIA MOTORS INC,12.05%,N/A,2.47,N/A
SLP,"Simulations Plus, Inc.",5.46%,N/A,0.08,N/A
ESLT,ELBIT SYSTEMS LTD,9.80%,8.60%,N/A,N/A
GPI,GROUP 1 AUTOMOTIVE INC,16.75%,N/A,N/A,N/A
BSY,BENTLEY SYSTEMS INC,22.55%,7.60%,2.27,N/A
MMS,"MAXIMUS, INC.",N/A,11.06%,N/A,N/A
JLL,JONES LANG LASALLE INC,8.08%,N/A,1.46,N/A
OKE,ONEOK INC /NEW/,17.82%,5.52%,N/A,N/A
RHP,"Ryman Hospitality Properties, Inc.",51.04%,N/A,7.80,N/A
WMT,Walmart Inc.,21.36%,14.85%,N/A,N/A
AFGB,AMERICAN FINANCIAL GROUP INC,19.86%,N/A,5.90,N/A
CHRW,"C. H. ROBINSON WORLDWIDE, INC.",27.04%,17.18%,2.08,N/A
SAH,SONIC AUTOMOTIVE INC,20.33%,9.68%,N/A,N/A
NVDA,NVIDIA CORP,91.87%,79.84%,0.41,N/A
FDX,FEDEX CORP,15.70%,N/A,N/A,N/A
GTY,GETTY REALTY CORP /MD/,7.39%,N/A,1.05,N/A
FHI,"FEDERATED HERMES, INC.",24.50%,N/A,0.85,N/A
MCO,MOODYS CORP /DE/,57.73%,15.42%,3.30,N/A
NFLX,NETFLIX INC,35.21%,18.38%,1.17,N/A
URI,"UNITED RENTALS, INC.",7.99%,N/A,2.27,N/A
PAHC,PHIBRO ANIMAL HEALTH CORP,0.94%,5.03%,2.83,N/A
HST,"HOST HOTELS & RESORTS, INC.",10.55%,N/A,0.95,N/A
CNC,CENTENE CORP,12.51%,4.77%,2.12,N/A
WMB,"WILLIAMS COMPANIES, INC.",17.89%,N/A,N/A,N/A
LOAN,"MANHATTAN BRIDGE CAPITAL, INC",12.92%,N/A,0.57,N/A
UTHR,UNITED THERAPEUTICS Corp,18.55%,N/A,0.14,N/A
ZD,"ZIFF DAVIS, INC.",3.48%,3.10%,1.05,N/A
VTSI,"VirTra, Inc",2.98%,N/A,0.43,N/A
UPS,UNITED PARCEL SERVICE INC,34.59%,N/A,N/A,N/A
FULO,FULLNET COMMUNICATIONS INC,32.80%,N/A,1.10,N/A
ALGN,ALIGN TECHNOLOGY INC,10.94%,N/A,0.61,N/A
ON,ON SEMICONDUCTOR CORP,17.88%,10.98%,0.60,N/A
NOG,"NORTHERN OIL & GAS, INC.",22.42%,N/A,1.41,N/A
QLYS,"QUALYS, INC.",36.40%,N/A,1.04,N/A
CAMT,CAMTEK LTD,21.58%,N/A,0.62,N/A
NVMI,NOVA LTD.,19.81%,N/A,0.50,N/A
BRKR,BRUKER CORP,6.35%,3.84%,2.24,N/A
EXC,EXELON CORP,9.14%,N/A,3.00,N/A
TROW,PRICE T ROWE GROUP INC,20.30%,N/A,0.20,N/A
MNDO,MIND CTI LTD,19.06%,N/A,0.26,N/A
NDAQ,"NASDAQ, INC.",9.98%,5.69%,1.72,N/A
BKH,BLACK HILLS CORP /SD/,7.80%,3.72%,N/A,N/A
CBRE,"CBRE GROUP, INC.",11.51%,7.70%,1.81,N/A
PFHO,PACIFIC HEALTH CARE ORGANIZATION INC,7.56%,N/A,0.06,N/A
COR,"Cencora, Inc.",233.63%,13.08%,N/A,N/A
MA,Mastercard Inc,198.52%,33.63%,6.41,N/A
ABG,ASBURY AUTOMOTIVE GROUP INC,12.29%,N/A,N/A,N/A
HNNAZ,HENNESSY ADVISORS INC,7.77%,N/A,0.67,N/A
XPO,"XPO, Inc.",24.17%,6.86%,N/A,N/A
CCZ,COMCAST CORP,18.92%,N/A,N/A,N/A
PRAA,PRA GROUP INC,6.22%,N/A,3.29,N/A
SGI,SOMNIGROUP INTERNATIONAL INC.,N/A,N/A,N/A,N/A
JAZZ,Jazz Pharmaceuticals plc,13.68%,4.20%,N/A,N/A
TRPCF,Trip.com Group Ltd,12.03%,7.52%,0.70,N/A
MPWR,MONOLITHIC POWER SYSTEMS INC,56.80%,N/A,0.15,N/A
MORN,"Morningstar, Inc.",N/A,14.78%,N/A,N/A
SFL,SFL Corp Ltd.,11.58%,5.65%,2.64,N/A
ULH,"UNIVERSAL LOGISTICS HOLDINGS, INC.",20.08%,9.44%,N/A,N/A
LAZ,"Lazard, Inc.",43.99%,N/A,6.33,N/A
EVRI,Everi Holdings Inc.,5.87%,4.07%,6.51,N/A
IRMD,IRADIMED CORP,22.15%,N/A,0.13,N/A
META,"Meta Platforms, Inc.",34.14%,25.57%,0.51,N/A
LDOS,"Leidos Holdings, Inc.",28.42%,N/A,1.96,N/A
ITRN,Ituran Location & Control Ltd.,28.97%,N/A,N/A,N/A
ORCL,ORACLE CORP,60.84%,N/A,N/A,N/A
WFCF,"Where Food Comes From, Inc.",21.34%,N/A,0.54,N/A
DAC,Danaos Corp,14.75%,11.10%,0.27,N/A
WLDN,"Willdan Group, Inc.",3.28%,2.67%,0.98,N/A
GLDD,Great Lakes Dredge & Dock CORP,12.76%,6.24%,1.80,N/A
MLCO,Melco Resorts & Entertainment LTD,-3.28%,3.48%,N/A,N/A
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",32.20%,10.00%,2.80,N/A
VEEV,VEEVA SYSTEMS INC,12.24%,N/A,0.26,N/A
G,Genpact LTD,21.50%,13.45%,1.09,N/A
ACIC,AMERICAN COASTAL INSURANCE Corp,32.13%,N/A,4.16,N/A
APLE,"Apple Hospitality REIT, Inc.",6.55%,N/A,0.52,N/A
CBNT,"C-Bond Systems, Inc",-42.24%,N/A,N/A,N/A
JBTM,JBT Marel Corp,5.53%,2.87%,N/A,N/A
LOPE,"Grand Canyon Education, Inc.",28.86%,N/A,0.30,N/A
GWRS,"Global Water Resources, Inc.",12.16%,1.87%,N/A,N/A
MHH,"Mastech Digital, Inc.",3.89%,N/A,0.28,N/A
BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC.,10.97%,6.18%,2.01,N/A
TT,Trane Technologies plc,34.43%,19.03%,1.70,N/A
OTTR,Otter Tail Corp,18.08%,N/A,N/A,N/A
ACN,Accenture plc,5.95%,N/A,N/A,N/A
GM,General Motors Co,9.53%,N/A,3.40,N/A
HWLDF,H World Group Ltd,25.06%,9.68%,4.13,N/A
ELMD,"Electromed, Inc.",11.56%,N/A,0.17,N/A
MTSI,"MACOM Technology Solutions Holdings, Inc.",6.82%,3.52%,0.56,N/A
PAYS,"Paysign, Inc.",12.54%,N/A,4.88,N/A
NOAH,Noah Holdings Ltd,4.78%,N/A,0.18,N/A
EP-PC,"KINDER MORGAN, INC.",8.56%,4.56%,1.30,N/A
ARCO,Arcos Dorados Holdings Inc.,29.28%,11.42%,4.69,N/A
MPC,Marathon Petroleum Corp,19.41%,N/A,3.06,N/A
SXC,"SunCoke Energy, Inc.",14.10%,7.77%,1.41,N/A
CHEF,"Chefs' Warehouse, Inc.",10.32%,6.04%,2.46,N/A
APAM,Artisan Partners Asset Management Inc.,66.79%,N/A,2.23,N/A
LNTH,"Lantheus Holdings, Inc.",28.72%,N/A,0.82,N/A
ENVA,"Enova International, Inc.",17.50%,N/A,3.40,N/A
BJ,"BJ's Wholesale Club Holdings, Inc.",28.93%,15.66%,N/A,N/A
THPTF,"Techpoint, Inc.",22.93%,N/A,0.14,N/A
EVTC,"EVERTEC, Inc.",23.83%,6.62%,2.83,N/A
AHH-PA,"Armada Hoffler Properties, Inc.",5.32%,N/A,2.42,N/A
VCTR,"Victory Capital Holdings, Inc.",25.75%,N/A,1.27,N/A
SAIC,Science Applications International Corp,22.95%,9.78%,N/A,N/A
ICE,"Intercontinental Exchange, Inc.",9.96%,6.41%,4.04,N/A
GLPI,"Gaming & Leisure Properties, Inc.",18.38%,N/A,1.98,N/A
CRTO,Criteo S.A.,10.63%,N/A,1.13,N/A
BBAAY,Alibaba Group Holding Ltd,12.88%,N/A,0.71,N/A
OUT,OUTFRONT Media Inc.,11.40%,5.93%,6.83,N/A
NVGS,Navigator Holdings Ltd.,7.10%,6.05%,0.78,N/A
ZM,"Zoom Communications, Inc.",11.31%,N/A,0.23,N/A
PAYC,"Paycom Software, Inc.",31.85%,N/A,2.72,N/A
LPG,DORIAN LPG LTD.,8.62%,0.68%,0.70,N/A
CACI,CACI INTERNATIONAL INC /DE/,11.94%,9.02%,0.93,N/A
CWK,Cushman & Wakefield plc,7.48%,4.15%,3.30,N/A
GOOG,Alphabet Inc.,30.80%,30.21%,0.39,N/A
CWH,"Camping World Holdings, Inc.",-11.83%,3.18%,13.41,N/A
YETI,"YETI Holdings, Inc.",23.74%,25.05%,0.74,N/A
YUMC,"Yum China Holdings, Inc.",15.90%,N/A,0.82,N/A
VVV,VALVOLINE INC,113.95%,11.64%,N/A,N/A
ACMR,"ACM Research, Inc.",11.46%,11.44%,0.84,N/A
SNDR,"Schneider National, Inc.",3.92%,3.56%,0.65,N/A
VST,Vistra Corp.,47.74%,N/A,5.78,N/A
