ticker,company_name,latest_roe,latest_roic,latest_de,latest_pe
NTAP,"NetApp, Inc.",114.04%,15.46%,9.41,N/A
OTEX,OPEN TEXT CORP,11.08%,4.99%,N/A,N/A
PCG-PX,PG&E Corp,8.33%,2.61%,N/A,N/A
UNP,UNION PACIFIC CORP,39.95%,N/A,3.01,N/A
RUSHB,RUSH ENTERPRISES INC TX,14.20%,13.87%,N/A,N/A
FDS,FACTSET RESEARCH SYSTEMS INC,28.09%,15.15%,1.12,N/A
ANSS,ANSYS INC,9.46%,9.13%,N/A,N/A
CHKP,CHECK POINT SOFTWARE TECHNOLOGIES LTD,30.32%,N/A,1.06,N/A
LAD,LITHIA MOTORS INC,12.05%,N/A,2.47,N/A
ESLT,ELBIT SYSTEMS LTD,9.80%,8.60%,N/A,N/A
GPI,GROUP 1 AUTOMOTIVE INC,16.75%,N/A,N/A,N/A
JLL,JONES LANG LASALLE INC,8.08%,N/A,1.46,N/A
OKE,ONEOK INC /NEW/,17.82%,5.52%,N/A,N/A
RHP,"Ryman Hospitality Properties, Inc.",51.04%,N/A,7.80,N/A
URI,"UNITED RENTALS, INC.",7.99%,N/A,2.27,N/A
PAHC,PHIBRO ANIMAL HEALTH CORP,0.94%,5.03%,2.83,N/A
LOAN,"MANHATTAN BRIDGE CAPITAL, INC",12.92%,N/A,0.57,N/A
UTHR,UNITED THERAPEUTICS Corp,18.55%,N/A,0.14,N/A
VTSI,"VirTra, Inc",2.98%,N/A,0.43,N/A
UPS,UNITED PARCEL SERVICE INC,34.59%,N/A,N/A,N/A
ALGN,ALIGN TECHNOLOGY INC,10.94%,N/A,0.61,N/A
NOG,"NORTHERN OIL & GAS, INC.",22.42%,N/A,1.41,N/A
CAMT,CAMTEK LTD,21.58%,N/A,0.62,N/A
NVMI,NOVA LTD.,19.81%,N/A,0.50,N/A
BRKR,BRUKER CORP,6.35%,3.84%,2.24,N/A
TROW,PRICE T ROWE GROUP INC,20.30%,N/A,0.20,N/A
NDAQ,"NASDAQ, INC.",9.98%,5.69%,1.72,N/A
BKH,BLACK HILLS CORP /SD/,7.80%,3.72%,N/A,N/A
CBRE,"CBRE GROUP, INC.",11.51%,7.70%,1.81,N/A
PFHO,PACIFIC HEALTH CARE ORGANIZATION INC,7.56%,N/A,0.06,N/A
MA,Mastercard Inc,198.52%,33.63%,6.41,N/A
ABG,ASBURY AUTOMOTIVE GROUP INC,12.29%,N/A,N/A,N/A
HNNAZ,HENNESSY ADVISORS INC,7.77%,N/A,0.67,N/A
PRAA,PRA GROUP INC,6.22%,N/A,3.29,N/A
ULH,"UNIVERSAL LOGISTICS HOLDINGS, INC.",20.08%,9.44%,N/A,N/A
LAZ,"Lazard, Inc.",43.99%,N/A,6.33,N/A
IRMD,IRADIMED CORP,22.15%,N/A,0.13,N/A
META,"Meta Platforms, Inc.",34.14%,25.57%,0.51,N/A
LDOS,"Leidos Holdings, Inc.",28.42%,N/A,1.96,N/A
ITRN,Ituran Location & Control Ltd.,28.97%,N/A,N/A,N/A
ORCL,ORACLE CORP,60.84%,N/A,N/A,N/A
WFCF,"Where Food Comes From, Inc.",21.34%,N/A,0.54,N/A
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",32.20%,10.00%,2.80,N/A
JBTM,JBT Marel Corp,5.53%,2.87%,N/A,N/A
LOPE,"Grand Canyon Education, Inc.",28.86%,N/A,0.30,N/A
ACN,Accenture plc,5.95%,N/A,N/A,N/A
HWLDF,H World Group Ltd,25.06%,9.68%,4.13,N/A
ELMD,"Electromed, Inc.",11.56%,N/A,0.17,N/A
NOAH,Noah Holdings Ltd,4.78%,N/A,0.18,N/A
APAM,Artisan Partners Asset Management Inc.,66.79%,N/A,2.23,N/A
BJ,"BJ's Wholesale Club Holdings, Inc.",28.93%,15.66%,N/A,N/A
EVTC,"EVERTEC, Inc.",23.83%,6.62%,2.83,N/A
VCTR,"Victory Capital Holdings, Inc.",25.75%,N/A,1.27,N/A
SAIC,Science Applications International Corp,22.95%,9.78%,N/A,N/A
BBAAY,Alibaba Group Holding Ltd,12.88%,N/A,0.71,N/A
PAYC,"Paycom Software, Inc.",31.85%,N/A,2.72,N/A
GOOG,Alphabet Inc.,30.80%,30.21%,0.39,N/A
YETI,"YETI Holdings, Inc.",23.74%,25.05%,0.74,N/A
ACMR,"ACM Research, Inc.",11.46%,11.44%,0.84,N/A
VIVC,VIVIC CORP.,109.92%,N/A,0.88,N/A
LIN,LINDE PLC,17.23%,10.67%,1.07,N/A
HBB,Hamilton Beach Brands Holding Co,18.54%,N/A,1.50,N/A
ROAD,"Construction Partners, Inc.",12.02%,6.75%,1.69,N/A
GTES,Gates Industrial Corp plc,6.45%,5.71%,1.14,N/A
AVTR,"Avantor, Inc.",11.94%,8.13%,1.03,N/A
WH,"WYNDHAM HOTELS & RESORTS, INC.",44.46%,N/A,5.50,N/A
XYF,X Financial,22.15%,N/A,0.70,N/A
VMD,"VIEMED HEALTHCARE, INC.",8.57%,12.49%,0.33,N/A
NWN,Northwest Natural Holding Co,5.69%,3.05%,N/A,N/A
CI,Cigna Group,9.21%,N/A,2.79,N/A
QFIN,"Qifu Technology, Inc.",25.83%,N/A,0.99,N/A
INMD,InMode Ltd.,25.76%,N/A,0.12,N/A
YALA,Yalla Group Ltd,19.05%,N/A,0.15,N/A
HRMY,"Harmony Biosciences Holdings, Inc.",22.07%,19.33%,0.52,N/A
TPL,Texas Pacific Land Corp,40.09%,N/A,0.10,N/A
AN,"AUTONATION, INC.",28.17%,N/A,N/A,N/A
HD,"HOME DEPOT, INC.",222.98%,N/A,13.48,N/A
SPGI,S&P Global Inc.,7.68%,6.10%,0.66,N/A
NRC,NATIONAL RESEARCH CORP,79.22%,22.77%,3.24,N/A
LRCX,LAM RESEARCH CORP,44.82%,22.59%,1.20,N/A
CTAS,CINTAS CORP,36.41%,22.09%,N/A,N/A
PAYX,PAYCHEX INC,40.15%,15.60%,3.01,N/A
EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,36.44%,N/A,N/A,N/A
EACO,EACO CORP,12.09%,15.58%,0.53,N/A
MSFT,MICROSOFT CORP,32.83%,25.48%,0.91,N/A
TDC,TERADATA CORP /DE/,85.71%,17.01%,11.81,N/A
WM,WASTE MANAGEMENT INC,33.28%,N/A,4.40,N/A
CTRA,Coterra Energy Inc.,8.54%,5.78%,0.65,N/A
VRTS,"VIRTUS INVESTMENT PARTNERS, INC.",16.99%,N/A,3.33,N/A
SNPS,SYNOPSYS INC,25.17%,12.99%,0.45,N/A
SPNS,SAPIENS INTERNATIONAL CORP N V,15.05%,15.28%,N/A,N/A
DHIL,DIAMOND HILL INVESTMENT GROUP INC,26.60%,N/A,0.51,N/A
COST,COSTCO WHOLESALE CORP /NEW,31.19%,23.12%,1.96,N/A
LAUR,"LAUREATE EDUCATION, INC.",30.90%,24.08%,0.94,N/A
CIGI,Colliers International Group Inc.,17.88%,N/A,N/A,N/A
CLMB,"Climb Global Solutions, Inc.",20.54%,28.63%,4.18,N/A
